Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Brandon Eisert,CHW,54.1,51,25,20,52,0,1,6
Austin Warren,NYM,38.1,36,18,14,35,0,0,2
Ty Johnson,TBR,11.2,10,6,4,12,0,0,0
Walker Buehler,SDP,47.1,48,26,19,39,0,0,0
Brennan Bernardino,COL,56,56,28,25,51,1,2,9
DL Hall,MIL,54.1,49,24,24,51,0,1,5
Zak Kent,MIN,24.2,23,12,11,23,0,0,1
Joe Jiménez,ATL,17.1,15,7,6,20,0,1,1
McCade Brown,COL,36.2,37,21,16,34,0,0,1
Jacob Webb,CHC,54.1,49,25,21,51,0,2,9
